Quel ancien premier ministre a été mis en cause dans l'affaire du sang contaminé ?;Lionel Jospin;Laurent Fabius;Edouard Balladur;2
Qui a realisé le film " Un prophète " ?;André Téchiné;Jacques Audiard;Les frères Dardenne;2
Quelle tenniswoman a remporté l'édition 2009 de Roland Garros ?;Sveltana Kuznetsova;Serena Williams;Dinara Safina;1
Dans " Virgin Suicides ", combien de sœurs compte la fratrie Lisbon ?;3;4;5;3
Quel économiste français reçut le prix Nobel d'économie en 1988 ?;Maurice Allais;René Maury;Alain Cotta;1
De quelle année date la fin du califat de Cordoue ?;1031;1034;1036;1
Qui a assassiné Abraham Lincoln en 1865 ?;Samuel Mudd;John Booth;Henry Halleck;2
Quelle personnalité politique fait partie du Front national, devenu Rassemblement national au 1er juin ?;Nicolas Sarkozy;François Hollande;Marine Le Pen;3
Quel chanteur représentait la France à l'Eurovision 2016 ?;Amir;Alain Souchon;Patrick Bruel;1
A quel compositeur doit-on " Les Quatre Saisons " ?;Mozart;Vivaldi;Bach;2
Quel célèbre homme d'affaires a été condamné à 150 ans de prison ?;Christophe Rocancourt;Jérôme Kerviel;Bernard Madoff;3
Lequel de ces films n'est pas de Quentin Tarantino ?;Kill Bill;Le Parrain;Pulp Fiction;2
De quel groupe de pop Damon Albarn était-il le leader ?;Supergrass;The Verve;Blur;3
Quel club de football a gagné la Coupe de la Ligue en 2009 ?;Girondins de Bordeaux;RC Strasbourg;PSG;1
Sous quel pseudonyme Quentin Leo Cook est-il plus connu ?;Moby;Fatboy Slim;Axwell;2
Dans quel pays se sont déroulées les Journées mondiales de la jeunesse en 2011 ?;En Espagne;Au Brésil;En Italie;1
Dans quelle ville est né Charles de Gaulle ?;Poitiers;Rouen;Lille;3
Qui a dit " Le don de soi est un achèvement " ?;Arthur Schnitzler;Paul Celan;Rainer Maria Rilke;3
Qui a créé le générique du film " Sueurs froides " ?;Saul Bass;Maurice Binder;Bernard Herrmann;3
Comment s'appelle le système d'exploitation mobile propre aux iPhones ?;IOS;Android;Tizen;1
Quel est le lieu de travail principal d'Homer Simpson;Un supermarché;Une centrale nucléaire;Un restaurant;2
Dans quel roman sulfureux suit-on les aventures d'Anastasia Steele ?;50 nuances de Grey;Illusions perdues;Paris est une fête;1
Qui était l'adversaire de Barack Obama lors des élections présidentielles américaines de 2012 ?;Rudolph Giuliani;Mitt Romney;Paul Ryan;2
A quel secteur la loi El Khomri est-elle relative ?;La santé;Le travail;La justice;2
Quel chanteur a obtenu le prix Nobel de littérature en 2016 ?;Paul McCartney;Lou Reed;Bob Dylan;3
De quel film, l'affiche laissant apparaître la nudité d'Eva Green a-t-elle été censurée ?;Dark Shadows;Sin City 2;White Bird;2
De quelle province française provient le jeu de quilles Saint-Gall ?;La Gascogne;L'Alsace;Le Poitou;2
Qu'est-ce qu'une gélinotte ?;Une plante;Un insecte;Un oiseau;3
De quel pays le groupe The Brilliant Green est-il originaire ?;Le Japon;La Corée du Sud;Les Etats-Unis;1
Qui a écrit le roman " Le Mur invisible " en 1963 ?;Marlen Haushofer;Ingeborg Bachmann;Astrid Rosenfeld;1
Quelle actrice est à l'affiche du film de Luc Besson " Lucy " en 2014 ?;Natalie Portman;Scarlett Johansson;Keira Knightley;2
Quel est le prénom du compagnon de Nabilla, que la starlette a poignardé ?;Clément;Thomas;Cyril;2
Dans un Trivial Pursuit traditionnel, que représentent les couleurs des camemberts gagnés ?;Les joueurs;Les points;Les thèmes;3
Sur quel boulevard parisien a ouvert le premier magasin Printemps en 1865 ?;Le boulevard Haussmann;Le boulevard Voltaire;Le boulevard Saint-Denis;1
Quel docteur fut mis en cause dans l'affaire de dopage Puerto ?;Dr Conconi;Dr Willy Voet;Dr Fuentes;3
Quel célèbre écrivain colombien a obtenu le prix Nobel de littérature en 1982 ?;Jorge Luis Borges;Mario Vargas Llosa;Gabriel García Márquez";3
Combien de constellations sont reconnues par l'Union astronomique internationale ?;88;94;102;1
De quel poète s'inspira Debussy pour son " Prélude à l'après-midi d'un faune " ?;Pierre Louÿs;Stéphane Mallarmé;Paul Verlaine;2
Quel est le poids réglementaire d'un ballon de handball pour les équipes masculines de 16 ans et plus ?;De 415 à 420 g;De 425 à 475 g;De 500 à 530 g;2
A quel scientifique doit-on le " Canon de la médicine " ?;Hippocrate;Avicenne;Averroès;2
Quel écrivain n'a pas fait partie du Groupe 47 ?;Heinrich Bëll;Günter Grass;Heiner Müller;3
Dans quelle ville française se trouve le pont de l'Alme ?;Paris;Marseille;Lyon;1
Lequel de ces fruits est acide ?;L'avocat;Le citron;Le raison;2
Avec quelle marque vos idées ont-elles du génie ?;Bénédicta;Maggi;Amora;2
Lorsque l'on souffre d'anémie, on est en carence de... ?;Globules rouges;Globules blancs;Vitamines;1
Quel acteur tient le premier rôle dans le film " Drive " de Nicolas Winding Refn ?;Ben Affleck;Ryan Gosling;Michael Fassbender;2
Dans quelle région d'Italie se trouve la ville de Rome ?;La Toscane;La Lombardie;Le Latium;3
Qui est l'auteur de " Voyage au bout de la Nuit " ?;Camus;Malraux;Céline;3
A qui doit—on " Les Danses hongroises " ?;Johannes Brahms;Robert Schumann;Franz Liszt;1
Quel président des Etats-Unis aimait jouer à l'Augusta National Golf Club ?;Truman;Nixon;Eisenhower;3
Sur les vêtements, quel symbole barré déconseille le lavages à sec ?;Le carré;Le triangle;Le rond;3
Quel jour de l'année 1066 la bataille d'Hastings s'est-elle déroulée ?;Le 23 novembre;Le 14 octobre;Le 8 août;2
Quel écrivain n'a pas fait partie du Groupe 47 ?;Heinrich Bëll;Günter Grass;Heiner Müller;3
Quelle marque produit mes téléphones Glaxy Note ?;Samsung;Asus;Huawei;1
Dans quel pays fut signé le traité de Versailles ?;En Allemagne;En Italie;En France;3
Laquelle de ces îles ne se trouve pas en France ?;L'île de Ré;L'île d'Oléron;L'île Maury;3
Quel groupe chante " Party Rock Anthem " en 2011 ?;LMFAO;The Black Eyed Peas;The Cataracs;1
Dans quel département français se trouve la ville de Besançon ?;La Côte d'Or;Le Jura;Le Doubs;3
De quel pays est originaire le golfeur Bubba Watson ?;Royaume-Unis;Etats-unis;Australie;2
Quel groupe chante " Lovefool " en 1996 ?;The Cardigans;Texas;No Doubt;1
Qui a reçu le prix Nobel d'économie en 2006 ?;Robert Aumann;Edmund Phelps;Paul Krugman;2
Quelle partie du corps est atteinte si l'on souffre d'une gingivite ?;La rate;La gencive;Les Ongles;2
Comment appelle-t-on l'étude de l'être en philosophie ?;L'ontologie;La phénoménologie;L'épistémologie;1
Qui a écrit une série de romans sur les aventures d'Horatio Hornblower ?;C.S Forester;Patrick O'Brian;Alexander Kent;1
Comment s'appelle le segment initial de l'intestin grêle ?;Le jéjunum;Le duodénum;L'iléon;2
Laquelle de ces propositions n'est pas une marque de voitures ?;Cordell;Kia;Opel;1
Dans quel film Bill Murray a t-il joué ?;Star Wars;SOS Fantômes;Mad Max;2
Quel est le nom de l'ennemi principal dans la série de jeux " Diablo " ?;Le Boucher;Asmodan;Diablo;3
Quelle forme d'art pratique Banksy ?;Le graffiti;La bande dessinée;La musique;1
Qui était le Ministre de l'Economie du premier gouvernement Edouard Philippe ?;Gérald Darmanin;Bruno Le Maire;François Bayrou;2
Quel fruit entre dans la composition d'une tarte Bourdaloue ?;La pêche ;L'abricot;La poire;3
Combien de fois l'Angleterre a-t-elle gagné la Coupe du monde de football ?;0;1;2;2
Quel animal est associé à la déesse grecque Héra ?;Le paon;La chouette;La colombe;1
Qui est l'architecte de l'Hôtel de ville de Londres ?;Zaha Hadid ;Frank Gehry;Norman Foster;3
Qu'est-ce que la trichomonose ?;Une maladie;Une molécule;Un nerf;1
Quel duo de DJs a sorti le tube " Booyah " en 2013 ?;Dzeko & Torres;Third Party;Showtek;3
Dans quel pays se trouve l'ossuaire de Sedlec ?;En Pologne;En Bulgarie;En République tchèque;3
